DPTO, DEPARTAMENTO, TOTALVen, Areakm2, Population, Unemployment, Poverty, Illiteracy
"11", Bogotá D.C., 352431, 1587, 8281030, 10.5, 12.4, 1.32
"54", Norte de Santander, 202727, 21658, 1402695, 13.4, 41.7, 6.4
"08", Atlántico, 167604, 3388, 2573591, 7.7, 24.2, 3.65
"44", La Guajira, 165475, 20848, 1067063, 4.6, 53.7, 17.02
"05", Antioquia, 149535, 63612, 6768388, 10.7, 21.2, 4.46
"68", Santander, 99659, 30537, 2100704, 7.7, 20.1, 4.36
"25", Cundinamarca, 92556, 24210, 2845668, 10.1, 16.4, 3.35 
"76", Valle del Cauca, 92530, 22140, 4804489, 11.3, 20.4, 3.46 
"47", Magdalena, 92147, 23188, 1312428, 7.0, 46.6, 9.11
"13", Bolívar, 81946, 25978, 2195495, 5.8, 36.2, 7.77
"20", Cesar, 58689, 22905, 1077770, 11.2, 42.9, 8.69
"81", Arauca, 46995, 23818, 273321, "NA", "NA", 6.66
"70", Sucre, 23979, 10917, 885835, 9.1, 41, 12.41
"85", Casanare, 21201, 44640, 381554, "NA", "NA", 4.96
"66", Risaralda, 20431, 4140, 972978, 7.6, 17.7, 4.46 
"15", Boyacá, 15822, 23189, 1284375, 7.4, 26.6, 5.84 
"23", Córdoba, 14327, 25020, 1813854, 8.3, 44.2, 11.55
"52", Nariño, 11750, 33268, 1830473, 6.1, 41.4, 8.38
"73", Tolima, 9085, 23562, 1423715, 12.8, 31, 6.07
"63", Quindío, 8779, 1845, 578268, 14.1, 24.1, 4.40 
"50", Meta, 7660, 85635, 1035256, 11.9, 25.4, 4.26
"19", Cauca, 7455, 29308, 1426938, 8.9, 50.5, 7.53
"17", Caldas, 7212, 7888, 995822, 10.1, 22.1, 5.07 
"94", Guainía, 6419, 72238, 44134, "NA", "NA", 8.74
"41", Huila, 4661, 19890, 1211163, 9.2, 37, 5.61
"86", Putumayo, 3458, 24885, 363597, "NA", "NA", 6.00
"99", Vichada, 3379, 100242, 79134, "NA", "NA", 11.57
"91", Amazonas, 993, 109665, 79739, "NA", "NA", 5.65
"27", Chocó, 791, 46530, 520296, 9.6, 61.1, 14.81
"18", Caquetá, 677, 88965, 502410, 9.1, 40.1, 6.89 
"88", San Andrés Islas, 415, 52, 79060, "NA", "NA", "NA"
"95", Guaviare, 373, 53460, 117494, "NA", "NA", 6.52
"97", Vaupés, 76, 54135, 45367, "NA", "NA", 9.96
