"","Country","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"2","Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,5,8,5,5,6,5,59,56805,128182
"3","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,16000
"4","Australia",0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,7,8,9,9,10,20,36,36,106,181
"5","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,15,25,29
"6","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,27,57,226,391
"7","Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"8","Brazil",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,8,7,23,144,986,4332,30815,120807
"9","Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Canada",0,0,0,363,466,546,588,531,496,534,647,695,967,493,437,555,1001,1058,1126,1034,994,972,942,941,902,1318,2404,3550
"11","Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,2,3,17,260,86066,288233
"12","China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"13","Colombia",0,0,0,0,0,0,0,0,0,0,0,0,8,22,25,19,27,28,20,24,22,26,31,68,112,367,69264,1174375
"14","Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,114,153,198,217,230,229,237,304,420,1457,3776,5709
"15","Cura?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,16,678,0
"16","Curaçao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000
"17","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Czech Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,7
"19","Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,5,12,21
"20","Dominican Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,50,26500
"21","Ecuador",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,17,22,45,64,15,9,13,7,7,0,41867,262572
"22","El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"24","Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,5,5,6,5,6,15,12
"25","France",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,7,7,21,35,68,189,312,707
"26","Germany",0,0,0,0,0,0,0,0,0,0,0,28,31,30,9,139,100,91,41,31,30,38,16,22,44,120,287,652
"27","Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1,0,9,25,40
"28","Guatemala",0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,18,34
"29","Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36400
