year,asylum,origin,type,value
2016,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2016,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,58
2016,Aruba,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2016,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),15
2016,Australia,Venezuela (Bolivarian Republic of),Asylum-seekers,21
2016,Austria,Venezuela (Bolivarian Republic of),Asylum-seekers,15
2016,Belgium,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2016,Belgium,Venezuela (Bolivarian Republic of),Asylum-seekers,51
2016,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2016,Brazil,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),30
2016,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,4302
2016,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),963
2016,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,355
2016,Chile,Venezuela (Bolivarian Republic of),Asylum-seekers,260
2016,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),43
2016,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,324
2016,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),269
2016,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,1188
2016,Cura?,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2016,Cura?,Venezuela (Bolivarian Republic of),Asylum-seekers,13
2016,Czech Rep.,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2016,Denmark,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2016,Dominican Rep.,Venezuela (Bolivarian Republic of),Asylum-seekers,20
2016,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2016,Finland,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2016,France,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),48
2016,France,Venezuela (Bolivarian Republic of),Asylum-seekers,141
2016,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),16
2016,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,104
2016,Greece,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2016,Guatemala,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2016,Honduras,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2016,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2016,Ireland,Venezuela (Bolivarian Republic of),Asylum-seekers,30
2016,Italy,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),67
2016,Italy,Venezuela (Bolivarian Republic of),Asylum-seekers,118
2016,Lebanon,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,Lebanon,Venezuela (Bolivarian Republic of),Others of concern,1
2016,Luxembourg,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,Malta,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2016,Malta,Venezuela (Bolivarian Republic of),Asylum-seekers,7
2016,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),278
2016,Mexico,Venezuela (Bolivarian Republic of),Asylum-seekers,116
2016,Morocco,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,Netherlands,Venezuela (Bolivarian Republic of),Asylum-seekers,15
2016,New Zealand,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,Norway,Venezuela (Bolivarian Republic of),Asylum-seekers,6
2016,Panama,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),30
2016,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,695
2016,Paraguay,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2016,Paraguay,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),147
2016,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,3553
2016,Portugal,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2016,Rep. of Korea,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2016,South Africa,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),29
2016,Spain,Venezuela (Bolivarian Republic of),Asylum-seekers,4435
2016,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2016,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,58
2016,Switzerland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2016,Switzerland,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2016,Trinidad and Tobago,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2016,Trinidad and Tobago,Venezuela (Bolivarian Republic of),Asylum-seekers,34
2016,Ukraine,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2016,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),29
2016,United Kingdom,Venezuela (Bolivarian Republic of),Asylum-seekers,26
2016,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5519
2016,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,29105
2016,Uruguay,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2016,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
