Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
#date+year,#country+asylum,#country+origin,#x_procedure+rsd,#x_applicants+start+total,#x_applicants+start+unhcr,#x_applicants+inyear,#x_decisions+recognized,#x_decisions+other,#x_decisions+negative+rejected,#x_decisions+closed,#x_decisions+total,#x_applicants+end+total,#x_applicants+end+unhcr
2000,Venezuela (Bolivarian Republic of),Colombia,G / FI,1,1,95,14,0,0,10,24,72,35
2000,Venezuela (Bolivarian Republic of),Cuba,G / FI,0,0,1,0,0,0,0,,1,0
2000,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,0,0,1,0,0,0,0,,1,0
2000,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,0,0,1,0,0,0,0,,1,0
2000,Venezuela (Bolivarian Republic of),Uruguay,G / FI,0,0,4,4,0,0,0,4,0,0
2001,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,0,0,2,0,0,0,0,,2,0
2001,Venezuela (Bolivarian Republic of),Colombia,G / FI,98,98,205,0,0,0,0,,303,45
2001,Venezuela (Bolivarian Republic of),Cuba,G / FI,1,0,0,0,0,0,1,1,0,0
2001,Venezuela (Bolivarian Republic of),Ghana,G / FI,0,0,1,0,0,0,0,,1,0
2001,Venezuela (Bolivarian Republic of),Nigeria,G / FI,0,0,1,0,0,0,0,,1,0
2001,Venezuela (Bolivarian Republic of),Russian Federation,G / FI,1,0,0,0,0,0,1,1,0,0
2001,Venezuela (Bolivarian Republic of),Rwanda,G / FI,0,0,1,0,0,0,0,,1,0
2001,Venezuela (Bolivarian Republic of),Sierra Leone,G / FI,1,0,1,0,0,0,0,,2,1
2001,Venezuela (Bolivarian Republic of),Togo,G / FI,0,0,1,0,0,0,0,,1,0
2002,Venezuela (Bolivarian Republic of),Côte d'Ivoire,G / FI,2,0,0,0,0,0,0,,2,2
2002,Venezuela (Bolivarian Republic of),Colombia,G / FI,303,45,705,0,0,0,0,,1008,863
2002,Venezuela (Bolivarian Republic of),Ecuador,G / FI,0,0,1,0,0,0,0,,1,1
2002,Venezuela (Bolivarian Republic of),Ghana,G / FI,1,0,0,0,0,0,0,,1,1
2002,Venezuela (Bolivarian Republic of),Iraq,G / FI,0,0,2,0,0,0,0,,2,0
2002,Venezuela (Bolivarian Republic of),Nigeria,G / FI,1,0,0,0,0,0,0,,1,0
2002,Venezuela (Bolivarian Republic of),Rwanda,G / FI,1,0,0,0,0,0,0,,1,0
