Country / territory of asylum/residence,Origin,Year,Month,Value
#country+asylum,#country+origin,#date+year,#date+month,#affected
Australia,Venezuela (Bolivarian Republic of),1999,July,1
Australia,Venezuela (Bolivarian Republic of),1999,August,1
Belgium,Venezuela (Bolivarian Republic of),1999,January,1
Canada,Venezuela (Bolivarian Republic of),1999,January,6
Canada,Venezuela (Bolivarian Republic of),1999,February,4
Canada,Venezuela (Bolivarian Republic of),1999,March,6
Canada,Venezuela (Bolivarian Republic of),1999,May,9
Canada,Venezuela (Bolivarian Republic of),1999,June,7
Canada,Venezuela (Bolivarian Republic of),1999,July,6
Canada,Venezuela (Bolivarian Republic of),1999,August,14
Canada,Venezuela (Bolivarian Republic of),1999,September,10
Canada,Venezuela (Bolivarian Republic of),1999,October,10
Canada,Venezuela (Bolivarian Republic of),1999,November,13
Canada,Venezuela (Bolivarian Republic of),1999,December,8
France,Venezuela (Bolivarian Republic of),1999,March,1
France,Venezuela (Bolivarian Republic of),1999,June,1
Netherlands,Venezuela (Bolivarian Republic of),1999,February,1
Netherlands,Venezuela (Bolivarian Republic of),1999,August,1
Spain,Venezuela (Bolivarian Republic of),1999,April,1
Spain,Venezuela (Bolivarian Republic of),1999,June,1
Spain,Venezuela (Bolivarian Republic of),1999,October,1
Sweden,Venezuela (Bolivarian Republic of),1999,July,3
USA (EOIR),Venezuela (Bolivarian Republic of),1999,January,1
USA (EOIR),Venezuela (Bolivarian Republic of),1999,April,2
USA (EOIR),Venezuela (Bolivarian Republic of),1999,May,1
USA (EOIR),Venezuela (Bolivarian Republic of),1999,June,2
USA (EOIR),Venezuela (Bolivarian Republic of),1999,July,4
USA (EOIR),Venezuela (Bolivarian Republic of),1999,August,3
USA (EOIR),Venezuela (Bolivarian Republic of),1999,September,1
USA (EOIR),Venezuela (Bolivarian Republic of),1999,November,2
USA (EOIR),Venezuela (Bolivarian Republic of),1999,December,1
Canada,Venezuela (Bolivarian Republic of),2000,January,4
Canada,Venezuela (Bolivarian Republic of),2000,February,9
Canada,Venezuela (Bolivarian Republic of),2000,March,11
Canada,Venezuela (Bolivarian Republic of),2000,April,1
Canada,Venezuela (Bolivarian Republic of),2000,May,13
Canada,Venezuela (Bolivarian Republic of),2000,June,10
Canada,Venezuela (Bolivarian Republic of),2000,July,8
Canada,Venezuela (Bolivarian Republic of),2000,August,15
Canada,Venezuela (Bolivarian Republic of),2000,September,12
Canada,Venezuela (Bolivarian Republic of),2000,October,10
Canada,Venezuela (Bolivarian Republic of),2000,November,9
Canada,Venezuela (Bolivarian Republic of),2000,December,5
France,Venezuela (Bolivarian Republic of),2000,July,1
France,Venezuela (Bolivarian Republic of),2000,September,1
France,Venezuela (Bolivarian Republic of),2000,October,1
France,Venezuela (Bolivarian Republic of),2000,November,1
Netherlands,Venezuela (Bolivarian Republic of),2000,December,1
Spain,Venezuela (Bolivarian Republic of),2000,January,3
Spain,Venezuela (Bolivarian Republic of),2000,August,1
Sweden,Venezuela (Bolivarian Republic of),2000,March,1
