Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,"Binding coverage, manufactured products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,99.95,99.95,99.95,99.95,99.95,99.95,99.97,99.97,99.97,99.97,99.97,100,100,100,100,,,
Colombia,Import volume index (2000 = 100),,,,,,,,,,,,,,,,,,,,,54.75554939,57.78497164,58.62988513,56.59851522,54.13498611,47.21940437,46.47965512,46.81920997,49.25870659,46.6318221,50.45928375,46.72339135,59.4461159,91.61702583,105.0837883,113.2593821,109.8034458,122.2655879,123.1345758,93.30487248,100,119.9651717,123.0905688,134.3451764,157.67844,192.8478681,224.3911849,263.7313393,276.5126858,248.3015358,301.0199997,366.3115204,391.3394004,394.1880265,435.3020272,424.8189982,399.4972988,404.3637721,433.3656702,
Colombia,Merchandise trade (% of GDP),24.36027622,21.80401696,20.26013708,19.7263673,18.98426906,17.21994445,21.77389643,17.28704783,20.16706494,20.03046363,21.81052211,20.65116784,19.22420755,21.62710261,25.10907495,22.5977764,23.04873842,21.99686027,25.70978969,24.2480325,25.93655449,22.30657954,21.82301204,20.56296525,20.80875977,22.04651032,25.6535813,24.64444594,25.60149745,27.11425962,25.72940528,24.5508105,23.07297858,25.50611734,24.92182072,25.92120335,24.98041653,25.22044254,25.92851512,25.79764586,24.60991322,25.58146057,25.13397818,28.49599232,28.15986617,29.20079873,31.36240132,30.571659,31.97827561,28.28071351,28.03144957,33.23266787,32.15899237,30.95871628,31.19449471,30.69219825,27.10439223,26.92742992,28.11201694,
Colombia,"International tourism, expenditures (% of total imports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.267890038,8.712142849,8.501772835,8.404807691,10.01583669,10.0211851,9.706491566,8.700637081,8.051098865,7.680505637,7.610325968,6.991631907,6.483758025,6.109351616,7.107394089,6.635197496,5.738935116,6.301417865,6.364508002,6.816614648,7.500198299,8.846781475,9.060540517,,
Colombia,"International tourism, expenditures (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162000000,1431000000,1560000000,1455000000,1339000000,1452000000,1556000000,1355000000,1349000000,1543000000,1934000000,2157000000,2460000000,2775000000,2801000000,3188000000,3631000000,4363000000,4485000000,5175000000,4820000000,4825000000,5136000000,,
Colombia,"International tourism, expenditures for travel items (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878000000,1117000000,1209000000,1120000000,1013000000,1060000000,1164000000,1075000000,1062000000,1185000000,1499000000,1690000000,1904000000,2177000000,2252000000,2641000000,3032000000,3626000000,3941000000,4683000000,4318000000,4254000000,4476000000,,
Colombia,"International tourism, receipts for travel items (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657000000,1120000000,1043000000,928000000,927000000,1030000000,1217000000,967000000,893000000,1227000000,1539000000,1915000000,1993000000,2342000000,2440000000,2797000000,3010000000,3460000000,3611000000,3825000000,4245000000,4522000000,4840000000,,
Colombia,"International tourism, expenditures for passenger transport items (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284000000,314000000,351000000,335000000,326000000,392000000,392000000,280000000,287000000,358000000,435000000,467000000,556000000,598000000,549000000,547000000,599000000,737000000,544000000,492000000,502000000,571000000,660000000,,
Colombia,"International tourism, receipts for passenger transport items (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000000,242000000,272000000,288000000,304000000,283000000,266000000,270000000,298000000,308000000,352000000,455000000,593000000,594000000,610000000,644000000,791000000,903000000,1148000000,1062000000,990000000,1062000000,961000000,,
Colombia,"International tourism, receipts (% of total exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229243146,10.3647754,9.253375319,9.074494167,8.830446897,8.307439818,9.845588812,8.682723831,7.569876048,7.812564202,7.65462732,8.19574079,7.488786294,6.81852307,7.907255987,7.499526632,5.947833605,6.411292863,7.070831413,7.629398724,11.38082947,13.34794405,12.02571914,,
