Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1981,Ecuador,Colombia,50,,,,,,,50
1982,Mexico,Colombia,100,,,,,,,100
1985,Ecuador,Colombia,60,,,,,,,60
1986,Ecuador,Colombia,50,,,,,,,50
1987,Ecuador,Colombia,50,,,,,,,50
1988,United Kingdom,Colombia,35,,,,,,,35
1989,Italy,Colombia,1,,,,,,,1
1989,United Kingdom,Colombia,65,,,,,,,65
1990,Ecuador,Colombia,70,,,,,,,70
1990,Italy,Colombia,1,,,,,,,1
1990,Sweden,Colombia,311,,,,,,,311
1990,United Kingdom,Colombia,93,,,,,,,93
1990,United States of America,Colombia,19,,,,,,,19
1991,Ecuador,Colombia,120,,,,,,,120
1991,Italy,Colombia,2,,,,,,,2
1991,Spain,Colombia,35,,,,,,,35
1991,Sweden,Colombia,441,,,,,,,441
1991,United Kingdom,Colombia,123,,,,,,,123
1991,United States of America,Colombia,19,,,,,,,19
1992,Ecuador,Colombia,80,,70,,,,,150
1992,France,Colombia,,,1,,,,,1
1992,Italy,Colombia,2,,,,,,,2
1992,Netherlands,Colombia,12,,,,,,,12
1992,Spain,Colombia,35,,,,,,,35
1992,Sweden,Colombia,546,,,,,,,546
1992,United Kingdom,Colombia,133,,,,,,,133
1992,United States of America,Colombia,35,,,,,,,35
1993,Argentina,Colombia,1,,,,,,,1
1993,Chile,Colombia,4,,,,,,,4
1993,Ecuador,Colombia,92,,5,,,,,97
1993,Italy,Colombia,2,,,,,,,2
1993,Mexico,Colombia,75,,,,,,,75
1993,Netherlands,Colombia,12,,,,,,,12
1993,Paraguay,Colombia,,,2,,,,,2
1993,Spain,Colombia,36,,,,,,,36
1993,Sweden,Colombia,578,,,,,,,578
1993,United Kingdom,Colombia,141,,,,,,,141
1993,United States of America,Colombia,71,,,,,,,71
1993,Uruguay,Colombia,23,,,,,,,23
1993,Venezuela (Bolivarian Republic of),Colombia,7,,,,,,,7
1994,Belgium,Colombia,,,1,,,,,1
1994,Canada,Colombia,101,,,,,,,101
1994,Chile,Colombia,4,,,,,,,4
1994,Ecuador,Colombia,112,,6,,,,,118
1994,France,Colombia,,,6,,,,,6
1994,Italy,Colombia,2,,,,,,,2
1994,Mexico,Colombia,74,,1,,,,,75
1994,Netherlands,Colombia,12,,,,,,,12
1994,Peru,Colombia,1,,,,,,,1
1994,Spain,Colombia,43,,,,,,,43
1994,Sweden,Colombia,686,,,,,,,686
1994,United Kingdom,Colombia,156,,,,,,,156
1994,United States of America,Colombia,140,,,,,,,140
1994,Uruguay,Colombia,18,,3,,,,,21
1994,Venezuela (Bolivarian Republic of),Colombia,14,,,,,,,14
1995,Brazil,Colombia,,,3,,,,,3
1995,Canada,Colombia,112,,,,,,,112
