Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2005,Colombia,Tuluá,0,,0,,0,0,0,0,0,,0,,1,0,0,1,1
2005,Colombia,San Andrés,0,,0,,2,0,0,2,0,,1,,1,0,0,2,4
2005,Colombia,Medellín,0,,0,,0,1,0,1,0,,0,,2,0,0,2,3
2005,Colombia,Maicao,0,,0,,1,0,0,1,0,,0,,0,0,0,0,1
2005,Colombia,Ibagué,0,,0,,1,0,0,1,0,,0,,2,0,0,2,3
2005,Colombia,Duitama,0,,0,,3,1,0,4,0,,1,,1,0,0,2,6
2005,Colombia,Cúcuta,1,,0,,1,0,0,2,1,,1,,3,0,0,5,7
2005,Colombia,Charalá,0,,0,,0,0,0,0,0,,0,,0,1,0,1,1
2005,Colombia,Cartagena,0,,0,,0,0,0,0,0,,0,,8,0,0,8,8
2005,Colombia,Cali,0,,0,,1,0,0,1,0,,0,,1,2,0,3,4
2005,Colombia,Buenaventura,1,,2,,2,0,0,5,0,,6,,2,0,0,8,13
2005,Colombia,Bogotá,3,,9,,32,6,0,50,4,,9,,75,7,0,95,145
2005,Colombia,Barranquilla,0,,0,,0,0,0,0,0,,0,,1,0,0,1,1
2006,Colombia,Tulua,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2006,Colombia,Cali,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,4,5
2006,Colombia,San Andres,0,0,0,0,2,0,0,2,0,0,1,1,1,0,0,3,4
2006,Colombia,Medellin,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2
2006,Colombia,Maicao,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2006,Colombia,Ibague,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,4
2006,Colombia,Duitama,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2
2006,Colombia,Cucuta,1,0,0,0,7,0,0,8,1,1,1,0,17,0,0,20,27
2006,Colombia,Charala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2006,Colombia,Cartagena,0,0,0,0,2,0,0,2,0,0,0,0,8,0,0,8,10
