Year,Country / territory of asylum/residence,Origin,Population type,Value
#date+year,#country+residence,#country+origin,#population+type,#affected
1981,Ecuador,Colombia,Refugees (incl. refugee-like situations),50
1982,Mexico,Colombia,Refugees (incl. refugee-like situations),100
1985,Ecuador,Colombia,Refugees (incl. refugee-like situations),60
1986,Ecuador,Colombia,Refugees (incl. refugee-like situations),50
1987,Ecuador,Colombia,Refugees (incl. refugee-like situations),50
1988,United Kingdom,Colombia,Refugees (incl. refugee-like situations),35
1989,Italy,Colombia,Refugees (incl. refugee-like situations),1
1989,United Kingdom,Colombia,Refugees (incl. refugee-like situations),65
1990,Ecuador,Colombia,Refugees (incl. refugee-like situations),70
1990,Italy,Colombia,Refugees (incl. refugee-like situations),1
1990,Sweden,Colombia,Refugees (incl. refugee-like situations),311
1990,United Kingdom,Colombia,Refugees (incl. refugee-like situations),93
1990,United States of America,Colombia,Refugees (incl. refugee-like situations),19
1991,Ecuador,Colombia,Refugees (incl. refugee-like situations),120
1991,Italy,Colombia,Refugees (incl. refugee-like situations),2
1991,Spain,Colombia,Refugees (incl. refugee-like situations),35
1991,Sweden,Colombia,Refugees (incl. refugee-like situations),441
1991,United Kingdom,Colombia,Refugees (incl. refugee-like situations),123
1991,United States of America,Colombia,Refugees (incl. refugee-like situations),19
1992,Ecuador,Colombia,Refugees (incl. refugee-like situations),80
1992,Ecuador,Colombia,Returned refugees,70
1992,France,Colombia,Returned refugees,1
1992,Italy,Colombia,Refugees (incl. refugee-like situations),2
1992,Netherlands,Colombia,Refugees (incl. refugee-like situations),12
1992,Spain,Colombia,Refugees (incl. refugee-like situations),35
1992,Sweden,Colombia,Refugees (incl. refugee-like situations),546
1992,United Kingdom,Colombia,Refugees (incl. refugee-like situations),133
1992,United States of America,Colombia,Refugees (incl. refugee-like situations),35
1993,Argentina,Colombia,Refugees (incl. refugee-like situations),1
1993,Chile,Colombia,Refugees (incl. refugee-like situations),4
1993,Ecuador,Colombia,Refugees (incl. refugee-like situations),92
1993,Ecuador,Colombia,Returned refugees,5
1993,Italy,Colombia,Refugees (incl. refugee-like situations),2
1993,Mexico,Colombia,Refugees (incl. refugee-like situations),75
1993,Netherlands,Colombia,Refugees (incl. refugee-like situations),12
1993,Paraguay,Colombia,Returned refugees,2
1993,Spain,Colombia,Refugees (incl. refugee-like situations),36
1993,Sweden,Colombia,Refugees (incl. refugee-like situations),578
1993,United Kingdom,Colombia,Refugees (incl. refugee-like situations),141
1993,United States of America,Colombia,Refugees (incl. refugee-like situations),71
1993,Uruguay,Colombia,Refugees (incl. refugee-like situations),23
1993,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),7
1994,Belgium,Colombia,Returned refugees,1
1994,Canada,Colombia,Refugees (incl. refugee-like situations),101
1994,Chile,Colombia,Refugees (incl. refugee-like situations),4
1994,Ecuador,Colombia,Refugees (incl. refugee-like situations),112
1994,Ecuador,Colombia,Returned refugees,6
1994,France,Colombia,Returned refugees,6
1994,Italy,Colombia,Refugees (incl. refugee-like situations),2
1994,Mexico,Colombia,Refugees (incl. refugee-like situations),74
1994,Mexico,Colombia,Returned refugees,1
1994,Netherlands,Colombia,Refugees (incl. refugee-like situations),12
1994,Peru,Colombia,Refugees (incl. refugee-like situations),1
