Year,Country / territory of asylum/residence,Origin,Population type,Value
#date+year,#country+residence,#country+origin,#population+type,#affected
1991,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1992,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
1993,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1993,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),130
1993,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
1994,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),363
1994,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1994,Peru,Venezuela (Bolivarian Republic of),Returned refugees,131
1994,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
1995,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),466
1995,Guatemala,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
1995,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
1996,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),546
1996,Guatemala,Venezuela (Bolivarian Republic of),Returned refugees,3
1996,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1996,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
1996,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
1997,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),588
1997,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1997,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1997,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
1997,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),11
1998,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),531
1998,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1998,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1998,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
1998,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),30
1999,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),496
1999,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1999,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
1999,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
1999,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),51
2000,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),407
2000,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,127
2000,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2000,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2000,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),8
2000,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),54
2000,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,45
2000,Uruguay,Venezuela (Bolivarian Republic of),Returned refugees,4
2001,Australia,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2001,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),457
2001,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,190
2001,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2001,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2001,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2001,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,144
2002,Australia,Venezuela (Bolivarian Republic of),Asylum-seekers,4
