Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1991,Sweden,Venezuela (Bolivarian Republic of),1,,,,,,,1
1992,Sweden,Venezuela (Bolivarian Republic of),4,,,,,,,4
1993,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
1993,Peru,Venezuela (Bolivarian Republic of),130,,,,,,,130
1993,Sweden,Venezuela (Bolivarian Republic of),4,,,,,,,4
1994,Canada,Venezuela (Bolivarian Republic of),363,,,,,,,363
1994,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
1994,Peru,Venezuela (Bolivarian Republic of),,,131,,,,,131
1994,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
1995,Canada,Venezuela (Bolivarian Republic of),466,,,,,,,466
1995,Guatemala,Venezuela (Bolivarian Republic of),3,,,,,,,3
1995,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
1996,Canada,Venezuela (Bolivarian Republic of),546,,,,,,,546
1996,Guatemala,Venezuela (Bolivarian Republic of),,,3,,,,,3
1996,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
1996,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
1996,United States of America,Venezuela (Bolivarian Republic of),3,,,,,,,3
1997,Canada,Venezuela (Bolivarian Republic of),588,,,,,,,588
1997,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
1997,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
1997,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
1997,United States of America,Venezuela (Bolivarian Republic of),11,,,,,,,11
1998,Canada,Venezuela (Bolivarian Republic of),531,,,,,,,531
1998,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
1998,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
1998,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
1998,United States of America,Venezuela (Bolivarian Republic of),30,,,,,,,30
1999,Canada,Venezuela (Bolivarian Republic of),496,,,,,,,496
1999,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
1999,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
1999,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
1999,United States of America,Venezuela (Bolivarian Republic of),51,,,,,,,51
2000,Canada,Venezuela (Bolivarian Republic of),407,127,,,,,,534
2000,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
2000,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
2000,Sweden,Venezuela (Bolivarian Republic of),8,,,,,,,8
2000,United States of America,Venezuela (Bolivarian Republic of),54,45,,,,,,99
2000,Uruguay,Venezuela (Bolivarian Republic of),,,4,,,,,4
2001,Australia,Venezuela (Bolivarian Republic of),,1,,,,,,1
2001,Canada,Venezuela (Bolivarian Republic of),457,190,,,,,,647
2001,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
2001,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
2001,Sweden,Venezuela (Bolivarian Republic of),7,,,,,,,7
2001,United States of America,Venezuela (Bolivarian Republic of),,144,,,,,,144
2002,Australia,Venezuela (Bolivarian Republic of),,4,,,,,,4
2002,Canada,Venezuela (Bolivarian Republic of),307,388,,,,,,695
2002,Ecuador,Venezuela (Bolivarian Republic of),,1,,,,,,1
2002,Germany,Venezuela (Bolivarian Republic of),24,4,,,,,,28
2002,Mexico,Venezuela (Bolivarian Republic of),1,,,,,,,1
2002,Netherlands,Venezuela (Bolivarian Republic of),1,,,,,,,1
2002,Sweden,Venezuela (Bolivarian Republic of),4,5,,,,,,9
2002,United States of America,Venezuela (Bolivarian Republic of),189,381,,,,,,570
