Origin / Returned from,Country / territory of residence,Population type,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Colombia,Argentina,Refugees,526,497,456,403,381,179,152,100,48,34,18,17,22,19
Colombia,Argentina,Asylum seekers,302,510,486,203,98,68,219,145,123,57,44,49,39,31
Colombia,Aruba,Refugees,*,,,,,,,,,,,,,
Colombia,Aruba,Asylum seekers,*,5,3,1,,,,,,,,,,
Colombia,Australia,Refugees,124,118,133,148,191,219,265,94,134,165,212,251,235,185
Colombia,Australia,Asylum seekers,37,38,38,22,20,10,6,10,14,,16,48,132,193
Colombia,Austria,Refugees,19,19,20,22,32,37,38,41,32,24,24,24,26,28
Colombia,Austria,Asylum seekers,5,5,6,5,4,4,5,6,,,,,,
Colombia,Belgium,Refugees,28,39,39,33,32,29,37,54,62,44,19,40,62,82
Colombia,Belgium,Asylum seekers,7,9,5,,,,,21,35,43,34,,,
Colombia,Belize,Asylum seekers,,,,,,,,1,,,,,,
Colombia,Bolivarian Republic of Venezuela,Refugees,204259,203563,201941,201467,201244,201094,200843,660,358,199,21,21,21,34
Colombia,Bolivarian Republic of Venezuela,Asylum seekers,909,750,17192,15694,14223,11799,9490,7660,5862,3877,2270,1008,303,72
Colombia,Bolivarian Republic of Venezuela,Returned refugees,,,,,,,5,,,,,,,
Colombia,Bosnia and Herzegovina,Returned refugees,,,,,,,1,,,,,,,
Colombia,Brazil,Refugees,1147,742,654,602,597,529,17498,415,360,132,88,63,26,15
Colombia,Brazil,Asylum seekers,110,243,106,16,38,93,81,69,42,8,26,42,23,5
Colombia,Bulgaria,Asylum seekers,,,,1,1,1,1,1,1,1,1,1,1,1
Colombia,Canada,Refugees,17381,17563,17243,16054,14300,13080,11843,17378,13511,9441,6689,4051,2339,1077
Colombia,Canada,Asylum seekers,806,1254,1882,2692,3725,4671,3079,1412,1461,3271,2822,3148,1823,927
Colombia,Chile,Refugees,977,942,924,884,,1061,948,725,416,189,99,72,51,27
Colombia,Chile,Asylum seekers,355,287,318,246,,821,472,298,82,67,38,4,17,18
Colombia,Chile,Returned refugees,,,,,,,,,,,,,4,6
Colombia,Colombia,Internally displaced,5368138,3943509,3888309,3672054,3303979,3000000,3000000,3000000,2000000,2000000,1244072,950000,720000,525000
Colombia,Costa Rica,Refugees,16586,10305,10297,10214,10199,9939,9739,9699,9470,8750,8266,7326,3085,515
Colombia,Costa Rica,Asylum seekers,309,356,325,296,377,401,476,307,,,,,2411,954
Colombia,Cuba,Refugees,,1,4,3,3,,,10,10,3,3,3,,
Colombia,Cuba,Asylum seekers,,,1,1,1,1,,,,,,,,1
Colombia,Curaçao,Refugees,6,6,,,,,,,,,,,,
Colombia,Curaçao,Asylum seekers,14,2,5,2,,,,,,,,,,
Colombia,Cyprus,Asylum seekers,,,,,,,,1,1,1,,,,
Colombia,Denmark,Refugees,,,,7,8,8,8,15,11,11,8,8,8,31
Colombia,Denmark,Asylum seekers,,,3,1,,,,,,,,4,5,7
Colombia,Dominican Republic,Refugees,*,,,,,,,,,,,,,
Colombia,Dominican Republic,Asylum seekers,*,2,,,,,,,,,,,,
Colombia,Ecuador,Refugees,122276,122964,122587,120403,115745,100637,264255,11526,9851,8270,6248,3122,1614,1374
Colombia,Ecuador,Asylum seekers,12316,14408,20823,39744,42469,31089,24413,4620,2155,1553,2526,2618,2403,102
Colombia,El Salvador,Refugees,*,3,3,3,3,3,3,3,3,6,16,18,13,
Colombia,El Salvador,Asylum seekers,*,,,,1,,,,,1,3,3,5,
Colombia,Finland,Refugees,*,1,11,13,13,13,13,13,12,12,12,12,2,
Colombia,Finland,Asylum seekers,*,3,3,,,,,,,,,,,
Colombia,France,Refugees,480,476,455,436,424,397,368,337,295,286,262,264,253,245
Colombia,France,Asylum seekers,61,,,,,,,,,,,,,
Colombia,Germany,Refugees,70,241,242,253,229,334,374,431,227,199,214,236,,
Colombia,Germany,Asylum seekers,56,61,52,20,29,38,74,464,118,10,9,74,87,81
Colombia,Guatemala,Refugees,6,7,3,3,1,,1,2,2,1,2,2,2,
Colombia,Guatemala,Asylum seekers,,,3,,2,1,,,,,,7,,2
Colombia,Guatemala,Returned refugees,,,,,,,,,,,,,,2
Colombia,Honduras,Refugees,*,4,4,2,6,4,2,2,2,2,1,2,1,
Colombia,Honduras,Asylum seekers,,,,,,,9,,4,,,,3,
Colombia,"Hong Kong SAR, China",Refugees,*,,,,,,,,,,1,1,,
Colombia,"Hong Kong SAR, China",Asylum seekers,16,12,7,2,3,,,,,,,,,
