Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1970,Colombia,Various/Unknown,1500,,,,,,,1500
1971,Colombia,Various/Unknown,1400,,,,,,,1400
1972,Colombia,Various/Unknown,1350,,,,,,,1350
1973,Colombia,Various/Unknown,1450,,,,,,,1450
1974,Colombia,Various/Unknown,1200,,,,,,,1200
1977,Colombia,Various/Unknown,1800,,,,,,,1800
1978,Colombia,Various/Unknown,1500,,,,,,,1500
1979,Colombia,Various/Unknown,2000,,,,,,,2000
1980,Colombia,Various/Unknown,2000,,,,,,,2000
1981,Colombia,Various/Unknown,1800,,,,,,,1800
1982,Colombia,Various/Unknown,150,,,,,,,150
1983,Colombia,Nicaragua,60,,,,,,,60
1983,Colombia,Various/Unknown,150,,,,,,,150
1984,Colombia,Nicaragua,70,,,,,,,70
1984,Colombia,Various/Unknown,260,,,,,,,260
1985,Colombia,Chile,90,,,,,,,90
1985,Colombia,Nicaragua,80,,,,,,,80
1985,Colombia,Various/Unknown,230,,,,,,,230
1986,Colombia,Chile,50,,,,,,,50
1986,Colombia,Various/Unknown,190,,,,,,,190
1987,Colombia,Chile,180,,,,,,,180
1987,Colombia,Nicaragua,70,,,,,,,70
1987,Colombia,Various/Unknown,430,,,,,,,430
1988,Colombia,Chile,180,,,,,,,180
1988,Colombia,Nicaragua,90,,,,,,,90
1988,Colombia,Various/Unknown,450,,,,,,,450
1989,Colombia,Chile,180,,,,,,,180
1989,Colombia,Nicaragua,90,,,,,,,90
1989,Colombia,Various/Unknown,430,,,,,,,430
1990,Colombia,Chile,80,,,,,,,80
1990,Colombia,Nicaragua,90,,,,,,,90
1990,Colombia,Various/Unknown,290,,110,,,,,400
1990,Colombia,Various/Unknown,,,,,,,,0
1991,Colombia,Chile,70,,,,,,,70
1991,Colombia,Nicaragua,90,,,,,,,90
1991,Colombia,Various/Unknown,,,,,,,,0
1991,Colombia,Various/Unknown,290,,60,,,,,350
1992,Colombia,Chile,60,,,,,,,60
1992,Colombia,Nicaragua,90,,,,,,,90
1992,Colombia,Various/Unknown,328,,,,,,,328
1993,Colombia,Chile,56,,4,,,,,60
1993,Colombia,China,4,,,,,,,4
1993,Colombia,Cuba,12,,,,,,,12
1993,Colombia,El Salvador,4,,,,,,,4
1993,Colombia,Guyana,1,,,,,,,1
1993,Colombia,Haiti,10,,,,,,,10
1993,Colombia,Hungary,55,,,,,,,55
1993,Colombia,Iran (Islamic Rep. of),12,,,,,,,12
1993,Colombia,Iraq,1,,,,,,,1
1993,Colombia,Nicaragua,86,,8,,,,,94
1993,Colombia,Peru,6,,,,,,,6
1993,Colombia,Poland,2,,,,,,,2
1993,Colombia,Romania,10,,,,,,,10
1993,Colombia,South Africa,1,,,,,,,1
1993,Colombia,Ukraine,1,,,,,,,1
1993,Colombia,Various/Unknown,3,,,,,,,3
1993,Colombia,Viet Nam,34,,,,,,,34
1994,Colombia,Angola,1,,,,,,,1
1994,Colombia,Chile,48,,16,,,,,64
1994,Colombia,China,5,,,,,,,5
1994,Colombia,Croatia,1,,,,,,,1
1994,Colombia,Cuba,15,,,,,,,15
1994,Colombia,El Salvador,4,,,,,,,4
1994,Colombia,Haiti,11,,1,,,,,12
1994,Colombia,Hungary,55,,,,,,,55
1994,Colombia,Iran (Islamic Rep. of),11,,,,,,,11
1994,Colombia,Iraq,2,,,,,,,2
1994,Colombia,Nicaragua,92,,,,,,,92
1994,Colombia,Peru,21,,,,,,,21
1994,Colombia,Poland,1,,,,,,,1
1994,Colombia,Romania,10,,,,,,,10
1994,Colombia,South Africa,1,,,,,,,1
1994,Colombia,Ukraine,1,,,,,,,1
1994,Colombia,Various/Unknown,3,,,,,,,3
1994,Colombia,Viet Nam,34,,,,,,,34
1995,Colombia,Chile,35,,1,,,,,36
1995,Colombia,Cuba,12,,,,,,,12
1995,Colombia,Haiti,8,,4,,,,,12
1995,Colombia,Hungary,30,,,,,,,30
1995,Colombia,Iran (Islamic Rep. of),10,,,,,,,10
1995,Colombia,Nicaragua,74,,1,,,,,75
1995,Colombia,Peru,15,,,,,,,15
1995,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),9,,,,,,,9
1995,Colombia,Stateless,3,,,,,,,3
1995,Colombia,Various/Unknown,22,,,,,,,22
1996,Colombia,Chile,35,,,,,,,35
1996,Colombia,Cuba,12,,,,,,,12
1996,Colombia,Haiti,8,,,,,,,8
1996,Colombia,Hungary,30,,,,,,,30
1996,Colombia,Iran (Islamic Rep. of),10,,,,,,,10
1996,Colombia,Nicaragua,74,,,,,,,74
1996,Colombia,Peru,16,,,,,,,16
1996,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),9,,,,,,,9
1996,Colombia,Stateless,3,,,,,,,3
1996,Colombia,Various/Unknown,23,,,,,,,23
1997,Colombia,Angola,1,,,,,,,1
1997,Colombia,Chile,35,,,,,,,35
1997,Colombia,China,5,,,,,,,5
1997,Colombia,Cuba,12,,,,,,,12
1997,Colombia,El Salvador,4,,,,,,,4
1997,Colombia,Haiti,8,,,,,,,8
1997,Colombia,Hungary,30,,,,,,,30
1997,Colombia,Iran (Islamic Rep. of),10,,,,,,,10
1997,Colombia,Iraq,1,,,,,,,1
1997,Colombia,Liberia,5,,,,,,,5
1997,Colombia,Nicaragua,74,,,,,,,74
1997,Colombia,Peru,17,,,,,,,17
1997,Colombia,Romania,8,,,,,,,8
1997,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),9,,,,,,,9
1997,Colombia,Stateless,3,,,,,,,3
1997,Colombia,Ukraine,1,,,,,,,1
1998,Colombia,Angola,1,,,,,,,1
1998,Colombia,Chile,35,,,,,,,35
1998,Colombia,China,5,,,,,,,5
1998,Colombia,Cuba,12,,,,,,,12
1998,Colombia,El Salvador,4,,,,,,,4
1998,Colombia,Haiti,8,,,,,,,8
1998,Colombia,Hungary,30,,,,,,,30
1998,Colombia,Iran (Islamic Rep. of),10,,,,,,,10
1998,Colombia,Iraq,1,,,,,,,1
1998,Colombia,Liberia,5,,,,,,,5
1998,Colombia,Nicaragua,74,,,,,,,74
1998,Colombia,Peru,20,,,,,,,20
1998,Colombia,Romania,8,,,,,,,8
1998,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),9,,,,,,,9
1998,Colombia,Stateless,3,,,,,,,3
1998,Colombia,Ukraine,1,,,,,,,1
1999,Colombia,Angola,4,,,,,,,4
1999,Colombia,Chile,36,,,,,,,36
1999,Colombia,China,5,,,,,,,5
1999,Colombia,Cuba,12,,,,,,,12
1999,Colombia,El Salvador,1,,3,,,,,4
1999,Colombia,Haiti,8,,,,,,,8
1999,Colombia,Hungary,30,,,,,,,30
1999,Colombia,Iran (Islamic Rep. of),10,,,,,,,10
1999,Colombia,Iraq,1,,,,,,,1
1999,Colombia,Liberia,5,,,,,,,5
1999,Colombia,Nicaragua,74,,,,,,,74
1999,Colombia,Peru,20,,,,,,,20
1999,Colombia,Romania,8,,,,,,,8
1999,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),9,,,,,,,9
1999,Colombia,Sierra Leone,3,,,,,,,3
1999,Colombia,Stateless,3,,,,,,,3
1999,Colombia,Ukraine,1,,,,,,,1
2000,Colombia,Angola,3,,,,,,,3
2000,Colombia,Chile,30,,6,,,,,36
2000,Colombia,China,5,,,,,,,5
2000,Colombia,Colombia,,,,525000,,,,525000
2000,Colombia,Cuba,18,3,,,,,,21
2000,Colombia,Ecuador,,1,,,,,,1
2000,Colombia,El Salvador,1,,,,,,,1
2000,Colombia,Guatemala,,,2,,,,,2
2000,Colombia,Haiti,8,,,,,,,8
2000,Colombia,Hungary,30,,,,,,,30
2000,Colombia,Iran (Islamic Rep. of),13,7,1,,,,,21
2000,Colombia,Iraq,2,,,,,,,2
2000,Colombia,Liberia,4,,,,,,,4
2000,Colombia,Nicaragua,80,,1,,,,,81
2000,Colombia,Panama,,,253,,,,,253
2000,Colombia,Peru,19,1,1,,,,,21
2000,Colombia,Romania,6,,,,,,,6
2000,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),10,,,,,,,10
2000,Colombia,Sierra Leone,3,,,,,,,3
2000,Colombia,South Africa,3,,,,,,,3
2000,Colombia,Stateless,3,,,,,,,3
2000,Colombia,Ukraine,1,,,,,,,1
2000,Colombia,Uruguay,,,1,,,,,1
2001,Colombia,Angola,3,,,,,,,3
2001,Colombia,Chile,,,4,,,,,4
2001,Colombia,China,5,,,,,,,5
2001,Colombia,Colombia,,,,720000,,,,720000
2001,Colombia,Cuba,21,6,,,,,,27
2001,Colombia,El Salvador,1,,,,,,,1
2001,Colombia,Haiti,8,,,,,,,8
2001,Colombia,Hungary,29,,,,,,,29
2001,Colombia,Iran (Islamic Rep. of),14,7,,,,,,21
2001,Colombia,Iraq,2,3,,,,,,5
2001,Colombia,Liberia,4,,,,,,,4
2001,Colombia,Nicaragua,79,,,,,,,79
2001,Colombia,Peru,16,,7,,,,,23
2001,Colombia,Romania,6,,,,,,,6
2001,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),10,,,,,,,10
2001,Colombia,Sierra Leone,5,1,,,,,,6
2001,Colombia,South Africa,3,,,,,,,3
2001,Colombia,Stateless,3,,,,,,,3
2001,Colombia,Ukraine,1,,,,,,,1
2002,Colombia,Angola,3,,,,,,,3
2002,Colombia,China,5,,,,,,,5
2002,Colombia,Colombia,,,,950000,,,,950000
2002,Colombia,Cuba,21,1,,,,,,22
2002,Colombia,Ecuador,1,,,,,,,1
