Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1969,Venezuela (Bolivarian Republic of),Cuba,14500,,,,,,,14500
1969,Venezuela (Bolivarian Republic of),Various/Unknown,500,,,,,,,500
1970,Venezuela (Bolivarian Republic of),Cuba,14500,,,,,,,14500
1970,Venezuela (Bolivarian Republic of),Various/Unknown,500,,,,,,,500
1971,Venezuela (Bolivarian Republic of),Cuba,14500,,,,,,,14500
1971,Venezuela (Bolivarian Republic of),Various/Unknown,500,,,,,,,500
1972,Venezuela (Bolivarian Republic of),Cuba,14000,,,,,,,14000
1972,Venezuela (Bolivarian Republic of),Various/Unknown,700,,,,,,,700
1973,Venezuela (Bolivarian Republic of),Various/Unknown,15400,,,,,,,15400
1974,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),150,,,,,,,150
1974,Venezuela (Bolivarian Republic of),Chile,50,,,,,,,50
1974,Venezuela (Bolivarian Republic of),Cuba,600,,,,,,,600
1974,Venezuela (Bolivarian Republic of),Various/Unknown,13550,,,,,,,13550
1977,Venezuela (Bolivarian Republic of),Various/Unknown,16000,,,,,,,16000
1978,Venezuela (Bolivarian Republic of),Various/Unknown,16000,,,,,,,16000
1979,Venezuela (Bolivarian Republic of),Various/Unknown,16000,,,,,,,16000
1980,Venezuela (Bolivarian Republic of),Various/Unknown,17800,,,,,,,17800
1981,Venezuela (Bolivarian Republic of),Various/Unknown,17000,,,,,,,17000
1982,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),80,,50,,,,,130
1982,Venezuela (Bolivarian Republic of),Cuba,210,,,,,,,210
1982,Venezuela (Bolivarian Republic of),Various/Unknown,560,,,,,,,560
1983,Venezuela (Bolivarian Republic of),Cuba,480,,,,,,,480
1983,Venezuela (Bolivarian Republic of),Haiti,230,,,,,,,230
1983,Venezuela (Bolivarian Republic of),Various/Unknown,390,,,,,,,390
1984,Venezuela (Bolivarian Republic of),Cuba,780,,,,,,,780
1984,Venezuela (Bolivarian Republic of),Haiti,310,,,,,,,310
1984,Venezuela (Bolivarian Republic of),Various/Unknown,,,,,,,,0
1984,Venezuela (Bolivarian Republic of),Various/Unknown,330,,100,,,,,430
1985,Venezuela (Bolivarian Republic of),Argentina,,,50,,,,,50
1985,Venezuela (Bolivarian Republic of),Chile,160,,,,,,,160
1985,Venezuela (Bolivarian Republic of),Cuba,1400,,,,,,,1400
1985,Venezuela (Bolivarian Republic of),Haiti,100,,,,,,,100
1985,Venezuela (Bolivarian Republic of),Nicaragua,60,,,,,,,60
1985,Venezuela (Bolivarian Republic of),Uruguay,90,,80,,,,,170
1985,Venezuela (Bolivarian Republic of),Various/Unknown,80,,,,,,,80
1986,Venezuela (Bolivarian Republic of),Cuba,260,,,,,,,260
1986,Venezuela (Bolivarian Republic of),Haiti,140,,,,,,,140
1986,Venezuela (Bolivarian Republic of),Uruguay,,,60,,,,,60
1986,Venezuela (Bolivarian Republic of),Various/Unknown,1400,,,,,,,1400
1987,Venezuela (Bolivarian Republic of),Chile,60,,,,,,,60
1987,Venezuela (Bolivarian Republic of),Cuba,330,,,,,,,330
1987,Venezuela (Bolivarian Republic of),Haiti,80,,,,,,,80
1987,Venezuela (Bolivarian Republic of),Nicaragua,60,,,,,,,60
1987,Venezuela (Bolivarian Republic of),Various/Unknown,1370,,,,,,,1370
1988,Venezuela (Bolivarian Republic of),Various/Unknown,,,60,,,,,60
1988,Venezuela (Bolivarian Republic of),Various/Unknown,2007,,,,,,,2007
1989,Venezuela (Bolivarian Republic of),Various/Unknown,,,,,,,,0
1989,Venezuela (Bolivarian Republic of),Various/Unknown,2118,,50,,,,,2168
1990,Venezuela (Bolivarian Republic of),Chile,370,,130,,,,,500
1990,Venezuela (Bolivarian Republic of),Cuba,970,,430,,,,,1400
1990,Venezuela (Bolivarian Republic of),Haiti,130,,,,,,,130
1990,Venezuela (Bolivarian Republic of),Nicaragua,150,,,,,,,150
1990,Venezuela (Bolivarian Republic of),Various/Unknown,130,,,,,,,130
1991,Venezuela (Bolivarian Republic of),Chile,350,,140,,,,,490
1991,Venezuela (Bolivarian Republic of),Cuba,970,,,,,,,970
1991,Venezuela (Bolivarian Republic of),Haiti,130,,,,,,,130
1991,Venezuela (Bolivarian Republic of),Nicaragua,140,,,,,,,140
1991,Venezuela (Bolivarian Republic of),Various/Unknown,130,,,,,,,130
1992,Venezuela (Bolivarian Republic of),Chile,600,,160,,,,,760
1992,Venezuela (Bolivarian Republic of),Cuba,970,,,,,,,970
1992,Venezuela (Bolivarian Republic of),Haiti,150,,80,,,,,230
1992,Venezuela (Bolivarian Republic of),Nicaragua,140,,,,,,,140
1992,Venezuela (Bolivarian Republic of),Various/Unknown,130,,,,,,,130
1993,Venezuela (Bolivarian Republic of),Argentina,,,1,,,,,1
1993,Venezuela (Bolivarian Republic of),Bosnia and Herzegovina,5,,,,,,,5
1993,Venezuela (Bolivarian Republic of),Chile,849,,384,,,,,1233
1993,Venezuela (Bolivarian Republic of),Colombia,7,,,,,,,7
1993,Venezuela (Bolivarian Republic of),Cuba,972,,,,,,,972
1993,Venezuela (Bolivarian Republic of),El Salvador,11,,,,,,,11
1993,Venezuela (Bolivarian Republic of),Guatemala,1,,,,,,,1
1993,Venezuela (Bolivarian Republic of),Guyana,1,,,,,,,1
1993,Venezuela (Bolivarian Republic of),Haiti,155,,,,,,,155
1993,Venezuela (Bolivarian Republic of),Hungary,4,,,,,,,4
1993,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),11,,,,,,,11
1993,Venezuela (Bolivarian Republic of),Kuwait,1,,,,,,,1
1993,Venezuela (Bolivarian Republic of),Lebanon,1,,,,,,,1
1993,Venezuela (Bolivarian Republic of),Lithuania,3,,,,,,,3
1993,Venezuela (Bolivarian Republic of),Nicaragua,140,,1,,,,,141
1993,Venezuela (Bolivarian Republic of),Panama,9,,,,,,,9
1993,Venezuela (Bolivarian Republic of),Peru,11,,,,,,,11
1993,Venezuela (Bolivarian Republic of),Poland,20,,,,,,,20
1993,Venezuela (Bolivarian Republic of),Romania,1,,,,,,,1
1993,Venezuela (Bolivarian Republic of),Russian Federation,3,,,,,,,3
1993,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),5,,,,,,,5
1993,Venezuela (Bolivarian Republic of),South Africa,,,1,,,,,1
1993,Venezuela (Bolivarian Republic of),Sri Lanka,3,,,,,,,3
1993,Venezuela (Bolivarian Republic of),Suriname,4,,,,,,,4
1993,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,4,,,,,,,4
1994,Venezuela (Bolivarian Republic of),Argentina,,,2,,,,,2
1994,Venezuela (Bolivarian Republic of),Bosnia and Herzegovina,3,,,,,,,3
1994,Venezuela (Bolivarian Republic of),Chile,814,,184,,,,,998
1994,Venezuela (Bolivarian Republic of),Colombia,14,,,,,,,14
1994,Venezuela (Bolivarian Republic of),Cuba,983,,,,,,,983
1994,Venezuela (Bolivarian Republic of),El Salvador,11,,,,,,,11
1994,Venezuela (Bolivarian Republic of),Guatemala,1,,,,,,,1
1994,Venezuela (Bolivarian Republic of),Haiti,149,,16,,,,,165
1994,Venezuela (Bolivarian Republic of),Hungary,2,,,,,,,2
1994,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),6,,,,,,,6
1994,Venezuela (Bolivarian Republic of),Kuwait,1,,,,,,,1
1994,Venezuela (Bolivarian Republic of),Lebanon,1,,,,,,,1
1994,Venezuela (Bolivarian Republic of),Lithuania,2,,,,,,,2
1994,Venezuela (Bolivarian Republic of),Nicaragua,134,,,,,,,134
1994,Venezuela (Bolivarian Republic of),Panama,9,,,,,,,9
1994,Venezuela (Bolivarian Republic of),Peru,18,,,,,,,18
1994,Venezuela (Bolivarian Republic of),Poland,18,,,,,,,18
1994,Venezuela (Bolivarian Republic of),Russian Federation,1,,,,,,,1
1994,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),6,,,,,,,6
1994,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,4,,,,,,,4
1995,Venezuela (Bolivarian Republic of),Bosnia and Herzegovina,10,,,,,,,10
1995,Venezuela (Bolivarian Republic of),Chile,1065,,39,,,,,1104
1995,Venezuela (Bolivarian Republic of),Colombia,14,,,,,,,14
1995,Venezuela (Bolivarian Republic of),Cuba,245,,,,,,,245
1995,Venezuela (Bolivarian Republic of),Haiti,134,,,,,,,134
1995,Venezuela (Bolivarian Republic of),Hungary,8,,,,,,,8
1995,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),2,,,,,,,2
1995,Venezuela (Bolivarian Republic of),Lithuania,5,,,,,,,5
1995,Venezuela (Bolivarian Republic of),Nicaragua,54,,,,,,,54
1995,Venezuela (Bolivarian Republic of),Panama,4,,,,,,,4
1995,Venezuela (Bolivarian Republic of),Peru,21,,1,,,,,22
1995,Venezuela (Bolivarian Republic of),Poland,21,,,,,,,21
1995,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),5,,,,,,,5
1995,Venezuela (Bolivarian Republic of),Various/Unknown,25,,,,,,,25
1996,Venezuela (Bolivarian Republic of),Bosnia and Herzegovina,10,,,,,,,10
1996,Venezuela (Bolivarian Republic of),Chile,1041,,33,,,,,1074
1996,Venezuela (Bolivarian Republic of),Colombia,18,,,,,,,18
1996,Venezuela (Bolivarian Republic of),Cuba,245,,,,,,,245
1996,Venezuela (Bolivarian Republic of),Gambia,1,,,,,,,1
1996,Venezuela (Bolivarian Republic of),Haiti,133,,1,,,,,134
1996,Venezuela (Bolivarian Republic of),Hungary,8,,,,,,,8
1996,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),2,,,,,,,2
1996,Venezuela (Bolivarian Republic of),Liberia,2,,,,,,,2
1996,Venezuela (Bolivarian Republic of),Lithuania,5,,,,,,,5
1996,Venezuela (Bolivarian Republic of),Nicaragua,54,,,,,,,54
1996,Venezuela (Bolivarian Republic of),Panama,4,,,,,,,4
1996,Venezuela (Bolivarian Republic of),Peru,21,,,,,,,21
1996,Venezuela (Bolivarian Republic of),Poland,21,,,,,,,21
1996,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),5,,,,,,,5
1996,Venezuela (Bolivarian Republic of),Stateless,1,,,,,,,1
1996,Venezuela (Bolivarian Republic of),Various/Unknown,25,,,,,,,25
1997,Venezuela (Bolivarian Republic of),Bosnia and Herzegovina,10,,,,,,,10
1997,Venezuela (Bolivarian Republic of),Chile,45,,,,,,,45
1997,Venezuela (Bolivarian Republic of),Colombia,17,,,,,,,17
1997,Venezuela (Bolivarian Republic of),Croatia,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Cuba,50,,,,,,,50
1997,Venezuela (Bolivarian Republic of),Czech Rep.,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),El Salvador,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Guatemala,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Haiti,60,,,,,,,60
1997,Venezuela (Bolivarian Republic of),Hungary,7,,,,,,,7
1997,Venezuela (Bolivarian Republic of),Iran (Islamic Rep. of),2,,,,,,,2
1997,Venezuela (Bolivarian Republic of),Iraq,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Kuwait,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Liberia,2,,,,,,,2
1997,Venezuela (Bolivarian Republic of),Lithuania,5,,,,,,,5
1997,Venezuela (Bolivarian Republic of),Nicaragua,49,,,,,,,49
1997,Venezuela (Bolivarian Republic of),Nigeria,4,,,,,,,4
1997,Venezuela (Bolivarian Republic of),Panama,4,,,,,,,4
1997,Venezuela (Bolivarian Republic of),Peru,22,,,,,,,22
1997,Venezuela (Bolivarian Republic of),Poland,10,,,,,,,10
1997,Venezuela (Bolivarian Republic of),Romania,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Russian Federation,1,,,,,,,1
1997,Venezuela (Bolivarian Republic of),Serbia and Kosovo (S/RES/1244 (1999)),5,,,,,,,5
1997,Venezuela (Bolivarian Republic of),Stateless,1,,,,,,,1
1998,Venezuela (Bolivarian Republic of),Argentina,,,1,,,,,1
1998,Venezuela (Bolivarian Republic of),Chile,39,,12,,,,,51
1998,Venezuela (Bolivarian Republic of),Colombia,20,,,,,,,20
1998,Venezuela (Bolivarian Republic of),Guyana,1,,,,,,,1
1998,Venezuela (Bolivarian Republic of),Haiti,34,,1,,,,,35
