Year,Country / territory of asylum/residence,Origin,Population type,Value
#date+year,#country+residence,#country+origin,#population+type,#affected
1969,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),14500
1969,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),500
1970,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),14500
1970,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),500
1971,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),14500
1971,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),500
1972,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),14000
1972,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),700
1973,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),15400
1974,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),150
1974,Venezuela (Bolivarian Republic of),Chile,Refugees (incl. refugee-like situations),50
1974,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),600
1974,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),13550
1977,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),16000
1978,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),16000
1979,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),16000
1980,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),17800
1981,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),17000
1982,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),80
1982,Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),Returned refugees,50
1982,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),210
1982,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),560
1983,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),480
1983,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),230
1983,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),390
1984,Venezuela (Bolivarian Republic of),Cuba,Refugees (incl. refugee-like situations),780
1984,Venezuela (Bolivarian Republic of),Haiti,Refugees (incl. refugee-like situations),310
1984,Venezuela (Bolivarian Republic of),Various/Unknown,Refugees (incl. refugee-like situations),330
1984,Venezuela (Bolivarian Republic of),Various/Unknown,Returned refugees,100
1985,Venezuela (Bolivarian Republic of),Argentina,Returned refugees,50
