Country / territory of asylum/residence,Origin,Year,Value
#country+asylum,#country+origin,#date+year,#affected
Sweden,Colombia,1983,8
Sweden,Colombia,1984,6
Sweden,Colombia,1985,4
Sweden,Colombia,1988,48
Canada,Colombia,1990,12
Sweden,Colombia,1990,20
Canada,Colombia,1991,2
Sweden,Colombia,1991,28
Australia,Colombia,1992,3
Sweden,Colombia,1992,20
Sweden,Colombia,1993,7
Australia,Colombia,1994,2
Sweden,Colombia,1994,5
Australia,Colombia,1995,4
Canada,Colombia,1995,16
Canada,Colombia,1996,19
Canada,Colombia,1997,3
Australia,Colombia,1998,2
Canada,Colombia,1998,33
Ecuador,Colombia,1998,4
Australia,Colombia,1999,9
Canada,Colombia,1999,106
Norway,Colombia,1999,6
Australia,Colombia,2000,4
Canada,Colombia,2000,590
Norway,Colombia,2000,17
Sweden,Colombia,2000,7
Australia,Colombia,2001,17
Canada,Colombia,2001,820
Norway,Colombia,2001,12
Sweden,Colombia,2001,31
Australia,Colombia,2002,7
Canada,Colombia,2002,1208
Norway,Colombia,2002,9
Sweden,Colombia,2002,16
United States of America,Colombia,2002,7
Australia,Colombia,2003,2
Brazil,Colombia,2003,15
Canada,Colombia,2003,1884
Mexico,Colombia,2003,2
Netherlands,Colombia,2003,34
Sweden,Colombia,2003,46
United States of America,Colombia,2003,149
Brazil,Colombia,2004,71
Canada,Colombia,2004,1517
Chile,Colombia,2004,26
Denmark,Colombia,2004,3
Mexico,Colombia,2004,2
Netherlands,Colombia,2004,17
El Salvador,Colombia,2004,1
Sweden,Colombia,2004,138
United States of America,Colombia,2004,577
Argentina,Colombia,2005,34
Australia,Colombia,2005,10
Brazil,Colombia,2005,73
Canada,Colombia,2005,1649
Chile,Colombia,2005,46
Iceland,Colombia,2005,24
Netherlands,Colombia,2005,94
Norway,Colombia,2005,5
Sweden,Colombia,2005,314
United States of America,Colombia,2005,323
Argentina,Colombia,2006,19
Australia,Colombia,2006,2
Brazil,Colombia,2006,50
Canada,Colombia,2006,1929
Chile,Colombia,2006,44
Denmark,Colombia,2006,4
Netherlands,Colombia,2006,7
Sweden,Colombia,2006,494
United States of America,Colombia,2006,115
Argentina,Colombia,2007,32
Australia,Colombia,2007,2
Brazil,Colombia,2007,41
Canada,Colombia,2007,1651
Iceland,Colombia,2007,30
Netherlands,Colombia,2007,8
New Zealand,Colombia,2007,26
Sweden,Colombia,2007,99
United States of America,Colombia,2007,54
Argentina,Colombia,2008,42
Australia,Colombia,2008,4
Brazil,Colombia,2008,16
Canada,Colombia,2008,1667
Chile,Colombia,2008,45
Netherlands,Colombia,2008,8
Norway,Colombia,2008,5
New Zealand,Colombia,2008,16
Sweden,Colombia,2008,74
United States of America,Colombia,2008,94
Argentina,Colombia,2009,26
Brazil,Colombia,2009,30
Canada,Colombia,2009,888
Netherlands,Colombia,2009,6
New Zealand,Colombia,2009,40
Sweden,Colombia,2009,23
Uruguay,Colombia,2009,11
United States of America,Colombia,2009,85
Argentina,Colombia,2010,15
Australia,Colombia,2010,5
Brazil,Colombia,2010,19
Canada,Colombia,2010,376
Chile,Colombia,2010,6
Iceland,Colombia,2010,6
New Zealand,Colombia,2010,93
Paraguay,Colombia,2010,13
Sweden,Colombia,2010,3
Uruguay,Colombia,2010,13
United States of America,Colombia,2010,96
Argentina,Colombia,2011,24
Brazil,Colombia,2011,20
Canada,Colombia,2011,389
Chile,Colombia,2011,15
Denmark,Colombia,2011,2
Norway,Colombia,2011,1
New Zealand,Colombia,2011,105
Paraguay,Colombia,2011,22
Uruguay,Colombia,2011,4
United States of America,Colombia,2011,49
Argentina,Colombia,2012,6
Australia,Colombia,2012,3
Brazil,Colombia,2012,38
Canada,Colombia,2012,197
Chile,Colombia,2012,3
Denmark,Colombia,2012,94
France,Colombia,2012,1
Netherlands,Colombia,2012,10
New Zealand,Colombia,2012,67
Sweden,Colombia,2012,145
Uruguay,Colombia,2012,7
United States of America,Colombia,2012,173
Brazil,Colombia,2013,56
Canada,Colombia,2013,312
Denmark,Colombia,2013,129
Netherlands,Colombia,2013,1
Norway,Colombia,2013,65
New Zealand,Colombia,2013,47
Sweden,Colombia,2013,157
Uruguay,Colombia,2013,14
United States of America,Colombia,2013,186
Argentina,Colombia,2014,20
Brazil,Colombia,2014,24
Canada,Colombia,2014,204
Denmark,Colombia,2014,101
New Zealand,Colombia,2014,166
Sweden,Colombia,2014,115
Uruguay,Colombia,2014,10
United States of America,Colombia,2014,461
Canada,Colombia,2015,164
Finland,Colombia,2015,6
New Zealand,Colombia,2015,106
Sweden,Colombia,2015,116
United States of America,Colombia,2015,433
Australia,Colombia,2016,65
Brazil,Colombia,2016,31
Canada,Colombia,2016,178
Finland,Colombia,2016,1
New Zealand,Colombia,2016,8
United States of America,Colombia,2016,476
Canada,Colombia,2017,338
New Zealand,Colombia,2017,119
United States of America,Colombia,2017,180
Canada,Colombia,2018,156
New Zealand,Colombia,2018,195
United States of America,Colombia,2018,136
