Country / territory of asylum/residence,Origin,Year,Value
#country+asylum,#country+origin,#date+year,#affected
Canada,Venezuela (Bolivarian Republic of),1990,1
Canada,Venezuela (Bolivarian Republic of),1991,2
Canada,Venezuela (Bolivarian Republic of),1992,1
Canada,Venezuela (Bolivarian Republic of),1994,2
Canada,Venezuela (Bolivarian Republic of),1997,3
Canada,Venezuela (Bolivarian Republic of),1999,3
Canada,Venezuela (Bolivarian Republic of),2001,3
Canada,Venezuela (Bolivarian Republic of),2005,8
Canada,Venezuela (Bolivarian Republic of),2006,2
United States of America,Venezuela (Bolivarian Republic of),2006,4
United States of America,Venezuela (Bolivarian Republic of),2008,3
United States of America,Venezuela (Bolivarian Republic of),2009,3
Canada,Venezuela (Bolivarian Republic of),2010,1
Brazil,Venezuela (Bolivarian Republic of),2011,3
Canada,Venezuela (Bolivarian Republic of),2011,1
Netherlands,Venezuela (Bolivarian Republic of),2012,1
Uruguay,Venezuela (Bolivarian Republic of),2012,2
United States of America,Venezuela (Bolivarian Republic of),2012,7
Brazil,Venezuela (Bolivarian Republic of),2013,1
Canada,Venezuela (Bolivarian Republic of),2013,1
Australia,Venezuela (Bolivarian Republic of),2014,1
Australia,Venezuela (Bolivarian Republic of),2015,1
Sweden,Venezuela (Bolivarian Republic of),2015,4
Australia,Venezuela (Bolivarian Republic of),2016,14
New Zealand,Venezuela (Bolivarian Republic of),2016,1
Canada,Venezuela (Bolivarian Republic of),2018,6
