Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/16,9/30/17,,1697,12/31/16,2017,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/16
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/15,9/30/16,,120184.44,6/30/16,2016,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/16
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,168370.37,12/31/14,2015,1,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,12/31/14
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1050000,4/1/14,3/31/14,9/30/20,,105000,6/30/16,2016,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,6/30/16
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,300000,3/31/14,2014,2,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2013,2014,3/31/14
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,50000,6/30/14,2014,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,6/30/14
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Citizen Initiatives to Support Democracy,Venezuela,Finalisation,0,1/23/12,1/23/12,9/30/16,,12000,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2012,2013,6/30/13
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions",Venezuela,Finalisation,0,,,,Original-grants,9000,7/31/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,12/20/18
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,5679996,9/15/03,9/15/03,9/30/17,,-10000,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,12/31/15
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,8000,12/6/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2016,2017,5/1/19
